work_id,record_id,preferred_record_id,is_preferred_manifestation,dedup_rule,dedup_confidence,candidate_similarity,dedup_evidence_json,preferred_manifestation_rationale,source_group_ids_json
WORK-5BB9AAEE9A32EB4E,REC-A90ED129C90C94AD,REC-A90ED129C90C94AD,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""arxiv:0710.4812"",""title_sha256:2e50da1f938c33ff""]"
WORK-C3205BFDF5C04E9F,REC-AAB3600F00A60110,REC-AAB3600F00A60110,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:0808.0247"",""title_sha256:805661552f0af5d8""]"
WORK-24BFFA21A0643E15,REC-61B0E818AB02E4D2,REC-61B0E818AB02E4D2,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:0909.2795"",""title_sha256:550bfcaa1d81be28""]"
WORK-FC1372F8E0AF60D2,REC-E887FD9D5AB3827A,REC-E887FD9D5AB3827A,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1088/0004-6256/139/4/1681"",""arxiv:1002.2312"",""title_sha256:beec4f4f0a13afca""]"
WORK-253528675CBD2D66,REC-416B2DD45741AF37,REC-416B2DD45741AF37,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1088/0067-0049/188/2/488"",""arxiv:1005.4604"",""title_sha256:63cb9db82c860d71""]"
WORK-5D42908FE430A92F,REC-03C5614289D5B5ED,REC-03C5614289D5B5ED,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""arxiv:1006.2811"",""title_sha256:bd12f4ca3713eb3d""]"
WORK-8BE7E0A1396B63DF,REC-068D2E4C36E0A59F,REC-068D2E4C36E0A59F,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1007.2328"",""title_sha256:74f671f6cc6c000f""]"
WORK-22BF9F055EB3CBAD,REC-AAAC49C19C9048DC,REC-AAAC49C19C9048DC,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1008.1673"",""title_sha256:2cd3e2b7fde7f809""]"
WORK-68A6CE0B4877390B,REC-CE62EB126433974E,REC-CE62EB126433974E,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1051/0004-6361/201218864"",""arxiv:1203.3972"",""title_sha256:5eafe0fbee036ce2""]"
WORK-F1B1D6C896617E25,REC-B86DE6D6670ABBED,REC-B86DE6D6670ABBED,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1206.3332"",""title_sha256:b9fe81a28a9920c2""]"
